order,p,d,q,trend,MAE,RMSE,DA
"(0, 0, 1)",0,0,1,c,0.014189792752942201,0.018560449036479302,0.592
"(0, 0, 1)",0,0,1,n,0.014207052901545215,0.018575998140490123,0.596
"(0, 0, 0)",0,0,0,c,0.014694919095518394,0.018689420281143513,0.532
"(0, 0, 0)",0,0,0,n,0.014733867063838087,0.0186999672515656,0.528
"(0, 0, 2)",0,0,2,c,0.015061876855082574,0.019770438828923917,0.608
"(0, 0, 2)",0,0,2,n,0.01516581895857481,0.019907428562347,0.608
"(0, 0, 3)",0,0,3,c,0.015183956008068154,0.0197333515254217,0.608
"(0, 0, 3)",0,0,3,n,0.015249810387406214,0.019834228485883187,0.616
"(2, 0, 1)",2,0,1,c,0.015765782308119106,0.020634268137969588,0.624
"(2, 0, 1)",2,0,1,n,0.015790130948021792,0.02071052803783903,0.628
"(2, 0, 2)",2,0,2,n,0.015882004189588822,0.020665477756940134,0.628
"(2, 0, 2)",2,0,2,c,0.015889607932234154,0.020788803594941153,0.616
"(3, 0, 0)",3,0,0,c,0.01592993773775364,0.02080921759282237,0.616
"(3, 0, 0)",3,0,0,n,0.015990289235811216,0.020884074622213224,0.616
"(3, 0, 1)",3,0,1,c,0.01601375921087341,0.020921041416652922,0.616
"(3, 0, 1)",3,0,1,n,0.016065703456118168,0.020975480349582104,0.62
"(2, 0, 0)",2,0,0,c,0.016079513328982473,0.021010927928859068,0.608
"(3, 0, 2)",3,0,2,n,0.016085375889424283,0.02083896264378314,0.6
"(1, 0, 2)",1,0,2,c,0.01608584215829717,0.021039247362713343,0.616
"(2, 0, 0)",2,0,0,n,0.0161204599310041,0.02105056868801002,0.608
"(1, 0, 1)",1,0,1,c,0.01613136035257088,0.021002889924209275,0.608
"(1, 0, 2)",1,0,2,n,0.016136428159992833,0.021042196519101986,0.604
"(1, 0, 1)",1,0,1,n,0.016170647575767895,0.021064784011632632,0.596
"(3, 0, 3)",3,0,3,c,0.016187357233711307,0.02102644192067469,0.608
"(1, 0, 0)",1,0,0,c,0.016224938419819125,0.02117724312764048,0.608
"(2, 0, 3)",2,0,3,c,0.016281798467882296,0.02117919749224973,0.608
"(2, 0, 3)",2,0,3,n,0.016287308323782675,0.021107337214617005,0.596
"(1, 0, 0)",1,0,0,n,0.01630449331359676,0.021206052255155816,0.604
"(3, 0, 3)",3,0,3,n,0.016491896202945982,0.021293109876351076,0.572
"(1, 0, 3)",1,0,3,n,0.01671648167236127,0.021821357181418116,0.6
"(1, 0, 3)",1,0,3,c,0.016783752762749713,0.02168651900471587,0.604
"(3, 0, 2)",3,0,2,c,0.02005863673579565,0.025764551925278673,0.64
