Model,package,features,MAE,RMSE,DA,num_features,num_base_features,num_sequence_features,base_features,architecture,learning_rate,loss,best_epoch,best_val_loss_scaled,MAE_Rank,RMSE_Rank,DA_Rank
ARIMAX,FULL,"DXY_RET, SP500_RET, OIL_RET, US10Y_CHANGE, VIX_LEVEL",0.0141897927529422,0.0185604490364793,0.592,,,,,,,,,,1,1,2
ARIMAX,NO_G1,"SP500_RET, OIL_RET, VIX_LEVEL",0.014194428592246,0.0186209534338249,0.58,,,,,,,,,,2,3,3
ARIMAX,NO_G3,"DXY_RET, SP500_RET, US10Y_CHANGE, VIX_LEVEL",0.0142085994476224,0.0186008052350908,0.6,,,,,,,,,,3,2,1
ARIMAX,NO_G2,"DXY_RET, OIL_RET, US10Y_CHANGE",0.0143038204649217,0.018677885154317,0.592,,,,,,,,,,4,4,2
XGBoost,NO_G3,"GOLD_RET, GOLD_RET_LAG1, GOLD_RET_LAG2, GOLD_RET_LAG3, GOLD_RET_LAG4, GOLD_RET_LAG5, GOLD_RET_LAG6, GOLD_RET_LAG7, DXY_RET, DXY_RET_LAG1, DXY_RET_LAG2, DXY_RET_LAG3, DXY_RET_LAG4, DXY_RET_LAG5, DXY_RET_LAG6, DXY_RET_LAG7, SP500_RET, SP500_RET_LAG1, SP500_RET_LAG2, SP500_RET_LAG3, SP500_RET_LAG4, SP500_RET_LAG5, SP500_RET_LAG6, SP500_RET_LAG7, US10Y_CHANGE, US10Y_CHANGE_LAG1, US10Y_CHANGE_LAG2, US10Y_CHANGE_LAG3, US10Y_CHANGE_LAG4, US10Y_CHANGE_LAG5, US10Y_CHANGE_LAG6, US10Y_CHANGE_LAG7, VIX_LEVEL, VIX_LEVEL_LAG1, VIX_LEVEL_LAG2, VIX_LEVEL_LAG3, VIX_LEVEL_LAG4, VIX_LEVEL_LAG5, VIX_LEVEL_LAG6, VIX_LEVEL_LAG7",0.0147745027675537,0.0186816445371635,0.52,40.0,,,,,,,,,1,2,1
XGBoost,FULL,"GOLD_RET, GOLD_RET_LAG1, GOLD_RET_LAG2, GOLD_RET_LAG3, GOLD_RET_LAG4, GOLD_RET_LAG5, GOLD_RET_LAG6, GOLD_RET_LAG7, DXY_RET, DXY_RET_LAG1, DXY_RET_LAG2, DXY_RET_LAG3, DXY_RET_LAG4, DXY_RET_LAG5, DXY_RET_LAG6, DXY_RET_LAG7, SP500_RET, SP500_RET_LAG1, SP500_RET_LAG2, SP500_RET_LAG3, SP500_RET_LAG4, SP500_RET_LAG5, SP500_RET_LAG6, SP500_RET_LAG7, OIL_RET, OIL_RET_LAG1, OIL_RET_LAG2, OIL_RET_LAG3, OIL_RET_LAG4, OIL_RET_LAG5, OIL_RET_LAG6, OIL_RET_LAG7, US10Y_CHANGE, US10Y_CHANGE_LAG1, US10Y_CHANGE_LAG2, US10Y_CHANGE_LAG3, US10Y_CHANGE_LAG4, US10Y_CHANGE_LAG5, US10Y_CHANGE_LAG6, US10Y_CHANGE_LAG7, VIX_LEVEL, VIX_LEVEL_LAG1, VIX_LEVEL_LAG2, VIX_LEVEL_LAG3, VIX_LEVEL_LAG4, VIX_LEVEL_LAG5, VIX_LEVEL_LAG6, VIX_LEVEL_LAG7",0.0147775839596998,0.0186842178326761,0.52,48.0,,,,,,,,,2,3,1
XGBoost,NO_G1,"GOLD_RET, GOLD_RET_LAG1, GOLD_RET_LAG2, GOLD_RET_LAG3, GOLD_RET_LAG4, GOLD_RET_LAG5, GOLD_RET_LAG6, GOLD_RET_LAG7, SP500_RET, SP500_RET_LAG1, SP500_RET_LAG2, SP500_RET_LAG3, SP500_RET_LAG4, SP500_RET_LAG5, SP500_RET_LAG6, SP500_RET_LAG7, OIL_RET, OIL_RET_LAG1, OIL_RET_LAG2, OIL_RET_LAG3, OIL_RET_LAG4, OIL_RET_LAG5, OIL_RET_LAG6, OIL_RET_LAG7, VIX_LEVEL, VIX_LEVEL_LAG1, VIX_LEVEL_LAG2, VIX_LEVEL_LAG3, VIX_LEVEL_LAG4, VIX_LEVEL_LAG5, VIX_LEVEL_LAG6, VIX_LEVEL_LAG7",0.0147821862706969,0.018663459181152,0.52,32.0,,,,,,,,,3,1,1
XGBoost,NO_G2,"GOLD_RET, GOLD_RET_LAG1, GOLD_RET_LAG2, GOLD_RET_LAG3, GOLD_RET_LAG4, GOLD_RET_LAG5, GOLD_RET_LAG6, GOLD_RET_LAG7, DXY_RET, DXY_RET_LAG1, DXY_RET_LAG2, DXY_RET_LAG3, DXY_RET_LAG4, DXY_RET_LAG5, DXY_RET_LAG6, DXY_RET_LAG7, OIL_RET, OIL_RET_LAG1, OIL_RET_LAG2, OIL_RET_LAG3, OIL_RET_LAG4, OIL_RET_LAG5, OIL_RET_LAG6, OIL_RET_LAG7, US10Y_CHANGE, US10Y_CHANGE_LAG1, US10Y_CHANGE_LAG2, US10Y_CHANGE_LAG3, US10Y_CHANGE_LAG4, US10Y_CHANGE_LAG5, US10Y_CHANGE_LAG6, US10Y_CHANGE_LAG7",0.0148488434690943,0.0187339783590311,0.492,32.0,,,,,,,,,4,4,2
XGBoost,GOLD_ONLY,"GOLD_RET, GOLD_RET_LAG1, GOLD_RET_LAG2, GOLD_RET_LAG3, GOLD_RET_LAG4, GOLD_RET_LAG5, GOLD_RET_LAG6, GOLD_RET_LAG7",0.0149518968811865,0.0188426437570695,0.48,8.0,,,,,,,,,5,5,3
LSTM,NO_G3,,0.014632944791553,0.0187309304222312,0.544,,5.0,35.0,"GOLD_RET, DXY_RET, SP500_RET, US10Y_CHANGE, VIX_LEVEL",MEDIUM,0.001,Huber,14.0,0.3128487169742584,1,3,1
