feature,importance
VIX_LEVEL_LAG5,0.03816026
VIX_LEVEL_LAG3,0.036228023
DXY_RET,0.033771083
SP500_RET_LAG5,0.032779656
VIX_LEVEL_LAG4,0.03236273
VIX_LEVEL,0.03211108
VIX_LEVEL_LAG6,0.03174794
GOLD_RET_LAG3,0.029864145
US10Y_CHANGE_LAG3,0.029291537
GOLD_RET_LAG4,0.028445018
VIX_LEVEL_LAG2,0.027859466
DXY_RET_LAG1,0.027549332
GOLD_RET_LAG2,0.027108911
US10Y_CHANGE_LAG7,0.026197849
SP500_RET_LAG6,0.02597834
DXY_RET_LAG7,0.025485633
SP500_RET_LAG1,0.02537107
US10Y_CHANGE_LAG2,0.025316302
VIX_LEVEL_LAG1,0.025066402
SP500_RET_LAG4,0.024353802
SP500_RET,0.024319336
DXY_RET_LAG4,0.02422432
SP500_RET_LAG2,0.023726793
GOLD_RET_LAG1,0.02372309
VIX_LEVEL_LAG7,0.023549601
GOLD_RET_LAG5,0.02303772
US10Y_CHANGE_LAG5,0.023020033
US10Y_CHANGE,0.022673996
GOLD_RET_LAG7,0.022391038
SP500_RET_LAG3,0.021605443
SP500_RET_LAG7,0.021228
DXY_RET_LAG5,0.021209188
US10Y_CHANGE_LAG1,0.021161841
DXY_RET_LAG6,0.01968271
DXY_RET_LAG2,0.019156745
GOLD_RET_LAG6,0.016650457
US10Y_CHANGE_LAG6,0.016631354
GOLD_RET,0.016260609
DXY_RET_LAG3,0.015451143
US10Y_CHANGE_LAG4,0.015248
